analysis_config,gold_label,predicted_category,count
llm_only__base_llm2__mem_rag_bm25,Storage,Access,1
llm_only__base_llm2__mem_rag_bm25,Storage,Administrative rights,1
llm_only__base_llm2__mem_rag_bm25,Storage,HR Support,9
llm_only__base_llm2__mem_rag_bm25,Storage,Hardware,6
llm_only__base_llm2__mem_rag_bm25,Storage,Internal Project,1
llm_only__base_llm2__mem_rag_bm25,Storage,Miscellaneous,4
llm_only__base_llm2__mem_rag_bm25,Storage,Storage,712
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Access,1675
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Administrative rights,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,HR Support,15
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Hardware,15
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Internal Project,3
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Miscellaneous,18
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Purchase,2
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Access,Storage,2
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Administrative rights,Access,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Administrative rights,Administrative rights,294
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Administrative rights,HR Support,3
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Administrative rights,Hardware,5
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Administrative rights,Miscellaneous,5
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Administrative rights,Purchase,2
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Access,14
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Administrative rights,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,HR Support,2236
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Hardware,19
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Internal Project,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Miscellaneous,20
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Purchase,3
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,HR Support,Storage,6
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Access,19
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Administrative rights,7
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,HR Support,24
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Hardware,2022
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Internal Project,5
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Miscellaneous,26
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Purchase,5
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Hardware,Storage,4
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Internal Project,Access,2
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Internal Project,HR Support,3
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Internal Project,Hardware,5
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Internal Project,Internal Project,525
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Internal Project,Miscellaneous,4
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,Access,11
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,Administrative rights,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,HR Support,15
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,Hardware,21
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,Internal Project,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,Miscellaneous,1513
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Miscellaneous,Storage,6
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Purchase,Access,3
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Purchase,Administrative rights,2
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Purchase,HR Support,4
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Purchase,Hardware,7
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Purchase,Internal Project,2
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Purchase,Miscellaneous,2
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Purchase,Purchase,686
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Storage,Access,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Storage,Administrative rights,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Storage,HR Support,9
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Storage,Hardware,6
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Storage,Internal Project,1
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Storage,Miscellaneous,4
slm_dominant__base_slm1__esc_llm2__mem_rag_bm25,Storage,Storage,712
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,Access,1675
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,Administrative rights,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,HR Support,15
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,Hardware,15
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,Internal Project,3
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,Miscellaneous,18
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,Purchase,2
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Access,Storage,2
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Administrative rights,Access,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Administrative rights,Administrative rights,294
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Administrative rights,HR Support,3
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Administrative rights,Hardware,5
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Administrative rights,Miscellaneous,5
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Administrative rights,Purchase,2
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Access,14
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Administrative rights,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,HR Support,2236
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Hardware,19
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Internal Project,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Miscellaneous,20
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Purchase,3
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,HR Support,Storage,6
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Access,19
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Administrative rights,7
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,HR Support,24
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Hardware,2022
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Internal Project,5
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Miscellaneous,26
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Purchase,5
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Hardware,Storage,4
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Internal Project,Access,2
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Internal Project,HR Support,3
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Internal Project,Hardware,5
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Internal Project,Internal Project,525
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Internal Project,Miscellaneous,4
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,Access,11
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,Administrative rights,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,HR Support,15
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,Hardware,21
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,Internal Project,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,Miscellaneous,1513
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Miscellaneous,Storage,6
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Purchase,Access,3
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Purchase,Administrative rights,2
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Purchase,HR Support,4
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Purchase,Hardware,7
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Purchase,Internal Project,2
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Purchase,Miscellaneous,2
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Purchase,Purchase,686
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Storage,Access,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Storage,Administrative rights,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Storage,HR Support,9
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Storage,Hardware,6
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Storage,Internal Project,1
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Storage,Miscellaneous,4
slm_dominant__base_slm2__esc_llm2__mem_rag_bm25,Storage,Storage,712
slm_only__base_slm1__mem_rag_bm25,Access,Access,1675
slm_only__base_slm1__mem_rag_bm25,Access,Administrative rights,1
slm_only__base_slm1__mem_rag_bm25,Access,HR Support,15
slm_only__base_slm1__mem_rag_bm25,Access,Hardware,15
slm_only__base_slm1__mem_rag_bm25,Access,Internal Project,3
slm_only__base_slm1__mem_rag_bm25,Access,Miscellaneous,18
slm_only__base_slm1__mem_rag_bm25,Access,Purchase,2
slm_only__base_slm1__mem_rag_bm25,Access,Storage,2
slm_only__base_slm1__mem_rag_bm25,Administrative rights,Access,1
slm_only__base_slm1__mem_rag_bm25,Administrative rights,Administrative rights,294
slm_only__base_slm1__mem_rag_bm25,Administrative rights,HR Support,3
slm_only__base_slm1__mem_rag_bm25,Administrative rights,Hardware,5
slm_only__base_slm1__mem_rag_bm25,Administrative rights,Miscellaneous,5
slm_only__base_slm1__mem_rag_bm25,Administrative rights,Purchase,2
slm_only__base_slm1__mem_rag_bm25,HR Support,Access,14
slm_only__base_slm1__mem_rag_bm25,HR Support,Administrative rights,1
slm_only__base_slm1__mem_rag_bm25,HR Support,HR Support,2236
slm_only__base_slm1__mem_rag_bm25,HR Support,Hardware,19
slm_only__base_slm1__mem_rag_bm25,HR Support,Internal Project,1
slm_only__base_slm1__mem_rag_bm25,HR Support,Miscellaneous,20
slm_only__base_slm1__mem_rag_bm25,HR Support,Purchase,3
slm_only__base_slm1__mem_rag_bm25,HR Support,Storage,6
slm_only__base_slm1__mem_rag_bm25,Hardware,Access,19
slm_only__base_slm1__mem_rag_bm25,Hardware,Administrative rights,7
slm_only__base_slm1__mem_rag_bm25,Hardware,HR Support,24
slm_only__base_slm1__mem_rag_bm25,Hardware,Hardware,2022
slm_only__base_slm1__mem_rag_bm25,Hardware,Internal Project,5
slm_only__base_slm1__mem_rag_bm25,Hardware,Miscellaneous,26
slm_only__base_slm1__mem_rag_bm25,Hardware,Purchase,5
slm_only__base_slm1__mem_rag_bm25,Hardware,Storage,4
slm_only__base_slm1__mem_rag_bm25,Internal Project,Access,2
slm_only__base_slm1__mem_rag_bm25,Internal Project,HR Support,3
slm_only__base_slm1__mem_rag_bm25,Internal Project,Hardware,5
slm_only__base_slm1__mem_rag_bm25,Internal Project,Internal Project,525
slm_only__base_slm1__mem_rag_bm25,Internal Project,Miscellaneous,4
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,Access,11
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,Administrative rights,1
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,HR Support,15
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,Hardware,21
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,Internal Project,1
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,Miscellaneous,1513
slm_only__base_slm1__mem_rag_bm25,Miscellaneous,Storage,6
slm_only__base_slm1__mem_rag_bm25,Purchase,Access,3
slm_only__base_slm1__mem_rag_bm25,Purchase,Administrative rights,2
slm_only__base_slm1__mem_rag_bm25,Purchase,HR Support,4
slm_only__base_slm1__mem_rag_bm25,Purchase,Hardware,7
slm_only__base_slm1__mem_rag_bm25,Purchase,Internal Project,2
slm_only__base_slm1__mem_rag_bm25,Purchase,Miscellaneous,2
slm_only__base_slm1__mem_rag_bm25,Purchase,Purchase,686
slm_only__base_slm1__mem_rag_bm25,Storage,Access,1
slm_only__base_slm1__mem_rag_bm25,Storage,Administrative rights,1
slm_only__base_slm1__mem_rag_bm25,Storage,HR Support,9
slm_only__base_slm1__mem_rag_bm25,Storage,Hardware,6
slm_only__base_slm1__mem_rag_bm25,Storage,Internal Project,1
slm_only__base_slm1__mem_rag_bm25,Storage,Miscellaneous,4
slm_only__base_slm1__mem_rag_bm25,Storage,Storage,712
slm_only__base_slm2__mem_rag_bm25,Access,Access,1675
slm_only__base_slm2__mem_rag_bm25,Access,Administrative rights,1
slm_only__base_slm2__mem_rag_bm25,Access,HR Support,15
slm_only__base_slm2__mem_rag_bm25,Access,Hardware,15
slm_only__base_slm2__mem_rag_bm25,Access,Internal Project,3
slm_only__base_slm2__mem_rag_bm25,Access,Miscellaneous,18
slm_only__base_slm2__mem_rag_bm25,Access,Purchase,2
slm_only__base_slm2__mem_rag_bm25,Access,Storage,2
slm_only__base_slm2__mem_rag_bm25,Administrative rights,Access,1
slm_only__base_slm2__mem_rag_bm25,Administrative rights,Administrative rights,294
slm_only__base_slm2__mem_rag_bm25,Administrative rights,HR Support,3
slm_only__base_slm2__mem_rag_bm25,Administrative rights,Hardware,5
slm_only__base_slm2__mem_rag_bm25,Administrative rights,Miscellaneous,5
slm_only__base_slm2__mem_rag_bm25,Administrative rights,Purchase,2
slm_only__base_slm2__mem_rag_bm25,HR Support,Access,14
slm_only__base_slm2__mem_rag_bm25,HR Support,Administrative rights,1
slm_only__base_slm2__mem_rag_bm25,HR Support,HR Support,2236
slm_only__base_slm2__mem_rag_bm25,HR Support,Hardware,19
slm_only__base_slm2__mem_rag_bm25,HR Support,Internal Project,1
slm_only__base_slm2__mem_rag_bm25,HR Support,Miscellaneous,20
slm_only__base_slm2__mem_rag_bm25,HR Support,Purchase,3
slm_only__base_slm2__mem_rag_bm25,HR Support,Storage,6
slm_only__base_slm2__mem_rag_bm25,Hardware,Access,19
slm_only__base_slm2__mem_rag_bm25,Hardware,Administrative rights,7
slm_only__base_slm2__mem_rag_bm25,Hardware,HR Support,24
slm_only__base_slm2__mem_rag_bm25,Hardware,Hardware,2022
slm_only__base_slm2__mem_rag_bm25,Hardware,Internal Project,5
slm_only__base_slm2__mem_rag_bm25,Hardware,Miscellaneous,26
slm_only__base_slm2__mem_rag_bm25,Hardware,Purchase,5
slm_only__base_slm2__mem_rag_bm25,Hardware,Storage,4
slm_only__base_slm2__mem_rag_bm25,Internal Project,Access,2
slm_only__base_slm2__mem_rag_bm25,Internal Project,HR Support,3
slm_only__base_slm2__mem_rag_bm25,Internal Project,Hardware,5
slm_only__base_slm2__mem_rag_bm25,Internal Project,Internal Project,525
slm_only__base_slm2__mem_rag_bm25,Internal Project,Miscellaneous,4
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,Access,11
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,Administrative rights,1
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,HR Support,15
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,Hardware,21
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,Internal Project,1
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,Miscellaneous,1513
slm_only__base_slm2__mem_rag_bm25,Miscellaneous,Storage,6
slm_only__base_slm2__mem_rag_bm25,Purchase,Access,3
slm_only__base_slm2__mem_rag_bm25,Purchase,Administrative rights,2
slm_only__base_slm2__mem_rag_bm25,Purchase,HR Support,4
slm_only__base_slm2__mem_rag_bm25,Purchase,Hardware,7
slm_only__base_slm2__mem_rag_bm25,Purchase,Internal Project,2
slm_only__base_slm2__mem_rag_bm25,Purchase,Miscellaneous,2
slm_only__base_slm2__mem_rag_bm25,Purchase,Purchase,686
slm_only__base_slm2__mem_rag_bm25,Storage,Access,1
slm_only__base_slm2__mem_rag_bm25,Storage,Administrative rights,1
slm_only__base_slm2__mem_rag_bm25,Storage,HR Support,9
slm_only__base_slm2__mem_rag_bm25,Storage,Hardware,6
slm_only__base_slm2__mem_rag_bm25,Storage,Internal Project,1
slm_only__base_slm2__mem_rag_bm25,Storage,Miscellaneous,4
slm_only__base_slm2__mem_rag_bm25,Storage,Storage,712
